,Leader,Leader Unison,Main 2,Unison 2,Main 3,Unison 3,L Weapon,L Soul,2 Weapon,2 Soul,3 Weapon,3 Soul,L4,L5,L6,LU4,LU5,LU6,24,25,26,2U4,2U5,2U6,34,35,36,3U4,3U5,3U6,URL,Date
845,Rem,Cipher,Rakisha,Mamnalia,Kyouka,Reylas,Blaugandr,Blaugandr,Yata-no-Kagami,Blaugandr,Parashu,Blaugandr,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/rem-ice_witch-drawing_witch-holy_mother-kyouka-freeze_eye-staff_0025-staff_0025-acce_0014_boss_unique-staff_0025-axe_0024-staff_0025@030,---,---,---,---,---.png",2022-02-03 14:17:00
846,Kyouka,Saar,Suizen,Mizuchi,Emilia,Cipher,Parashu,Blaugandr,Spine of the Deep,Juturna's Fan,Juturna's Fan,Juturna's Fan,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/kyouka-deepsea_mage-onmyoji_boy-onmyo_attendant-emilia-ice_witch-axe_0024-staff_0025-sword_0025_boss_unique-sword_0042_decay-sword_0042_decay-sword_0042_decay@---,555,555,555,555,555.png",2022-02-03 12:24:00
847,Reticia,Zeta,AAlk,XBianca,Nao,Rinne,Parashu,Hero's Megaphone,Yata-no-Kagami,Yata-no-Kagami,Deimos' Bangle,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"https://eliya-bot.herokuapp.com/comp/tsundere_bountyhunter-zeta-alk_1anv-lady_summoner_xm20-psychic_nao-psychic_tomboygirl-axe_0024-sword_0047_scollab-acce_0014_boss_unique-acce_0014_boss_unique-acce_0018_decay-acce_0014_boss_unique@---,---,---,---,---,000.png",2022-02-02 17:07:00
848,Reticia,Zeta,Nicola,XBianca,Rinne,Rolf,Haniclitus,Predator,Deimos' Bangle,Deimos' Bangle,Yata-no-Kagami,Yata-no-Kagami,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/tsundere_bountyhunter-zeta-sorceress_teacher-lady_summoner_xm20-psychic_tomboygirl-black_wolf_knight-spear_0034_haniwa-bow_0016-acce_0018_decay-acce_0018_decay-acce_0014_boss_unique-acce_0014_boss_unique@555,555,555,555,---,555.png",2022-02-01 20:48:00
849,Regis,Telluna,Rudy,Sera,Renoir,Sha Suzu,Parashu,Thor's Hammer,Ancestral Staff,Ancestral Staff,Yata-no-Kagami,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/rec_android-electro_girl-lady_android-machine_police_girl-fox_scientist-student_gunsmith-axe_0024-axe_0009-spear_0023_boss_unique-spear_0023_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@---,---,---,---,---,---.png",2022-02-01 19:28:00
850,Suizen,Rain,Mizuchi,Liesel,Keylos,Mamnalia,Yasakani-no-Magatama,Spine of the Deep,Spine of the Deep,Spine of the Deep,Zlata Lalas,Spine of the Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/onmyoji_boy-spry_sailor-onmyo_attendant-bishop_girl-sniper-holy_mother-acce_0015_boss_unique-sword_0025_boss_unique-sword_0025_boss_unique-sword_0025_boss_unique-fist_0033_raid-sword_0025_boss_unique@---,---,---,---,---,---.png",2022-01-31 19:12:00
851,Marina,XBianca,WSuizen,Rinne,Bulleta,Kikuno,Maltet,A Treatise on War,Senji Ryakketsu,Senji Ryakketsu,Spear of the Ancient King,A Treatise on War,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,1,1,6,"https://eliya-bot.herokuapp.com/comp/pirates_girl-lady_summoner_xm20-onmyoji_boy_wt21-psychic_tomboygirl-combat_soldier-compliment_oiran-spear_0005-book_0004-book_0009-book_0009-spear_0020_boss_unique-book_0004@555,555,---,---,555,005.png",2022-01-30 20:50:00
852,Alk,Nate,Stella,Firamelia,NYOrvelle,Cagliostro,Parashu,Flamewing Bow,Taipingjing,Yata-no-Kagami,Durendal,Covenant Blade,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/alk-hero_girl-stella_2anv-lamp_guide-high_priestess_ny22-cagliostro-axe_0024-bow_0019_raid-book_0026-acce_0014_boss_unique-sword_0005-sword_0031_storyevent@555,555,---,---,---,---.png",2022-01-30 00:37:00
853,Haruhi,NYLevy,Kyon,XBianca,Nicola,Rinne,Hero's Megaphone,Hero's Megaphone,Deimos' Bangle,Deimos' Bangle,Yata-no-Kagami,Deimos' Bangle,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/suzumiya_haruhi-shapely_soldier_ny22-kyon-lady_summoner_xm20-sorceress_teacher-psychic_tomboygirl-sword_0047_scollab-sword_0047_scollab-acce_0018_decay-acce_0018_decay-acce_0014_boss_unique-acce_0018_decay@---,---,---,555,555,---.png",2022-01-29 23:30:00
854,Firamelia,Lyla,NYOrvelle,ACecilia,APhiria,Sarliha,Yata-no-Kagami,Restraint,Parashu,Laser Pilum,Restraint,Restraint,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,"https://eliya-bot.herokuapp.com/comp/lamp_guide-unyielding_adventurer-high_priestess_ny22-woman_knight_1anv-wind_oracle_1anv-desert_priest-acce_0014_boss_unique-staff_0027_boss_unique-axe_0024-spear_0027-staff_0027_boss_unique-staff_0027_boss_unique@0--,000,---,000,000,000.png",2022-01-29 22:25:00
855,Rem,Mordiaga,Emilia,Sha Suzu,Faf,Seiji,Morning Star,Morning Star,Zub Akuly,Replica Insignia,Shell of the Deep,Replica Insignia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/rem-desert_wizard-emilia-student_gunsmith-cute_fafnir-psychic_seiji-axe_0023_RCollab-axe_0023_RCollab-acce_0020_boss_unique-acce_0013_RCollab-shield_0018_boss_unique-acce_0013_RCollab@---,---,---,---,---,---.png",2022-01-29 15:41:00
856,Nao,XBianca,Alk,Rinne,AMarina,Zeta,Deimos' Bangle,Deimos' Bangle,Yata-no-Kagami,Yata-no-Kagami,Parashu,Hero's Megaphone,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,1,6,6,"https://eliya-bot.herokuapp.com/comp/psychic_nao-lady_summoner_xm20-alk-psychic_tomboygirl-pirates_girl_2anv-zeta-acce_0018_decay-acce_0018_decay-acce_0014_boss_unique-acce_0014_boss_unique-axe_0024-sword_0047_scollab@---,555,---,---,---,055.png",2022-01-28 23:26:00
857,Rem,Mordiaga,Seiji,Kaiyu,Faf,Liesel,Morning Star,Morning Star,Yata-no-Kagami,Yata-no-Kagami,Shell of the Deep,Yata-no-Kagami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/rem-desert_wizard-psychic_seiji-depraved_monk-cute_fafnir-bishop_girl-axe_0023_RCollab-axe_0023_RCollab-acce_0014_boss_unique-acce_0014_boss_unique-shield_0018_boss_unique-acce_0014_boss_unique@---,---,---,---,---,---.png",2022-01-28 02:14:00
858,Liao,Rinne,Nicola,Pishika,Zeta,Kyrie,Yata-no-Kagami,Substitute's Armband,Substitute's Armband,Yata-no-Kagami,Parashu,Hero's Megaphone,0,0,0,0,0,0,6,6,6,0,0,0,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/doctor_pirate-psychic_tomboygirl-sorceress_teacher-nurse_pirate-zeta-crybaby_shooter-acce_0014_boss_unique-acce_0022_scollab-acce_0022_scollab-acce_0014_boss_unique-axe_0024-sword_0047_scollab@---,---,555,---,555,---.png",2022-01-27 20:06:00
859,HNephtim,Teurgis,Nephtim,Mikuru,Illumine,Razelt,Staff of Enlightenment,Cardinal,Cardinal,Cardinal,Vigilance,Laser Pilum,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/ruin_girl_halfanv-starbreak_hunter-ruin_girl-asahina_mikuru-illusionist-prince_zero-staff_0032-sword_0029_boss_unique-sword_0029_boss_unique-sword_0029_boss_unique-spear_0030_boss_unique-spear_0027@---,555,---,---,---,555.png",2022-01-27 15:43:00
860,Haruhi,Kyon,Nicola,XBianca,Rinne,Liao,Parashu,Kadoma-II,Yata-no-Kagami,Deimos' Bangle,Deimos' Bangle,Deimos' Bangle,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,1,1,2,"https://eliya-bot.herokuapp.com/comp/suzumiya_haruhi-kyon-sorceress_teacher-lady_summoner_xm20-psychic_tomboygirl-doctor_pirate-axe_0024-gun_0009_coop-acce_0014_boss_unique-acce_0018_decay-acce_0018_decay-acce_0018_decay@---,---,555,555,---,001.png",2022-01-26 20:37:00
861,Kokkoro,Phiria,Middy,Lyla,ACeltie,Kugui,Death's Axe,Wind Aegis,Yasakani-no-Magatama,Death's Axe,Death's Sword,Wind Aegis,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,1,0,0,"https://eliya-bot.herokuapp.com/comp/kokkoro-wind_oracle-steel_lacrosse-unyielding_adventurer-wind_spgirl_1anv-ekaki_onmyoji-axe_0018_boss_unique-shield_0017-acce_0015_boss_unique-axe_0018_boss_unique-sword_0022_boss_unique-shield_0017@---,---,---,---,555,0--.png",2022-01-26 19:58:00
862,Eclair,Rams,Razelt,XBianca,Sha Suzu,XFolus,Parashu,Lightcrest Bow,Bonds Forged in Flame,Laser Pilum,Yata-no-Kagami,Yata-no-Kagami,6,6,6,6,6,6,1,6,0,6,6,6,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/bodysuit_trooper-thunder_dragon-prince_zero-lady_summoner_xm20-student_gunsmith-devil_clown_xm21-axe_0024-bow_0017_raid-main_chapter_orb_7-spear_0027-acce_0014_boss_unique-acce_0014_boss_unique@555,555,05-,555,555,---.png",2022-01-26 19:23:00
863,NYEllya,APhiria,Yuki,XBianca,Rakisha,Sha Suzu,Claws of the Deep,A Pirate's Life for Me,Blaugandr,Bow of Celestial Service,Yata-no-Kagami,Bow of Celestial Service,1,6,6,0,0,0,0,0,0,6,6,6,6,6,0,6,0,0,"https://eliya-bot.herokuapp.com/comp/lightbullet_wiz_ny20-wind_oracle_1anv-psychic_yuki-lady_summoner_xm20-drawing_witch-student_gunsmith-fist_0020_boss_unique-book_0019_coop-staff_0025-bow_0020_score-acce_0014_boss_unique-bow_0020_score@055,---,---,555,55-,5--.png",2022-01-26 17:10:00
864,Vagner,XBianca,Enni,Marina,WSuizen,Kikuno,Beared Claws,Gauntlet of the Ancient King,Substitute's Armband,Substitute's Armband,Deimos' Bangle,Senji Ryakketsu,6,0,0,6,6,6,0,0,0,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/fire_dragon-lady_summoner_xm20-fire_shaman-pirates_girl-onmyoji_boy_wt21-compliment_oiran-fist_0032_boss_unique-fist_0017_boss_unique-acce_0022_scollab-acce_0022_scollab-acce_0018_decay-book_0009@5--,555,---,555,555,555.png",2022-01-26 16:22:00
865,Soushiro,Inaho,Miguel,Razelt,XBianca,Bianca,Maltet,Haniximenes,The Spear of Gluttony,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,1,6,6,0,0,0,0,0,0,1,6,0,6,6,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/samurai-fox_oracle-gentle_barten-prince_zero-lady_summoner_xm20-lady_summoner-spear_0005-book_0027_haniwa-spear_0021_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@055,---,---,05-,55-,---.png",2022-01-26 15:51:00
866,Fluffy,Rams,Sha Suzu,Inaho,XBianca,Bianca,Maltet,Haniximenes,The Spear of Gluttony,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,6,6,6,6,6,6,6,0,0,0,0,0,6,6,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/combat_animal-thunder_dragon-student_gunsmith-fox_oracle-lady_summoner_xm20-lady_summoner-spear_0005-book_0027_haniwa-spear_0021_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@555,555,5--,---,55-,---.png",2022-01-26 15:42:00
867,AHanabi,Kannon,Rinne,XBianca,Nao,Bianca,Parashu,Kadoma-II,Nurarihyon,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,6,6,6,6,6,6,0,0,0,6,6,6,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/kunoichi_1anv-red_gunner-psychic_tomboygirl-lady_summoner_xm20-psychic_nao-lady_summoner-axe_0024-gun_0009_coop-main_chapter_orb_6-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@555,555,---,555,---,---.png",2022-01-26 15:34:00
868,Haruhi,Zeta,Kyon,Sha Suzu,Nicola,XBianca,Parashu,Hero's Megaphone,Yata-no-Kagami,Yata-no-Kagami,Bonds Forged in Flame,Substitute's Armband,0,0,0,6,6,6,0,0,0,6,6,0,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/suzumiya_haruhi-zeta-kyon-student_gunsmith-sorceress_teacher-lady_summoner_xm20-axe_0024-sword_0047_scollab-acce_0014_boss_unique-acce_0014_boss_unique-main_chapter_orb_7-acce_0022_scollab@---,555,---,55-,555,555.png",2022-01-26 14:54:00
869,Orvelle,Keira,SLiesel,XBianca,HNephtim,Sha Suzu,Ukonvasara,Treat Wand,Yata-no-Kagami,Treat Wand,Treat Wand,Treat Wand,6,6,6,6,1,6,1,1,6,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/high_priestess-palpebra_knight_lady-bishop_girl_smr20-lady_summoner_xm20-ruin_girl_halfanv-student_gunsmith-axe_0008-staff_0024_raid-acce_0014_boss_unique-staff_0024_raid-staff_0024_raid-staff_0024_raid@555,505,005,555,---,555.png",2022-01-26 11:23:00
870,HAmelia,Klaus,Nagato Yuki,Cipher,Suizen,Sonia,Juturna's Fan,Blaugandr,Spine of the Deep,Oxhead Axe,Yata-no-Kagami,Juturna's Fan,6,6,6,6,1,6,0,0,0,6,6,6,1,1,6,1,6,6,"https://eliya-bot.herokuapp.com/comp/mermaid_1halfanv-wolf_assassin-nagato_yuki-ice_witch-onmyoji_boy-brown_fighter-sword_0042_decay-staff_0025-sword_0025_boss_unique-axe_0012-acce_0014_boss_unique-sword_0042_decay@555,505,---,555,005,055.png",2022-01-26 10:49:00
871,HAmelia,Shuilong,Nagato Yuki,Mizuchi,Suizen,Cipher,Parashu,Blaugandr,Juturna's Fan,Oxhead Axe,Spine of the Deep,Juturna's Fan,6,6,6,6,6,6,0,0,0,1,6,0,1,1,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/mermaid_1halfanv-waterdragon_kunfu-nagato_yuki-onmyo_attendant-onmyoji_boy-ice_witch-axe_0024-staff_0025-sword_0042_decay-axe_0012-sword_0025_boss_unique-sword_0042_decay@555,555,---,05-,005,555.png",2022-01-26 10:37:00
872,AMarina,Zeta,Nicola,XBianca,Rinne,Liao,Parashu,Hero's Megaphone,Flamewing Bow,Substitute's Armband,Yata-no-Kagami,Substitute's Armband,0,0,0,1,6,6,6,6,6,6,6,6,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/pirates_girl_2anv-zeta-sorceress_teacher-lady_summoner_xm20-psychic_tomboygirl-doctor_pirate-axe_0024-sword_0047_scollab-bow_0019_raid-acce_0022_scollab-acce_0014_boss_unique-acce_0022_scollab@---,055,555,555,---,---.png",2022-01-26 01:41:00
873,Zeta,Reticia,Nicola,XBianca,Rinne,Liao,Parashu,Hero's Megaphone,Deimos' Bangle,Deimos' Bangle,Yata-no-Kagami,Deimos' Bangle,6,6,6,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/zeta-tsundere_bountyhunter-sorceress_teacher-lady_summoner_xm20-psychic_tomboygirl-doctor_pirate-axe_0024-sword_0047_scollab-acce_0018_decay-acce_0018_decay-acce_0014_boss_unique-acce_0018_decay@555,---,555,555,---,---.png",2022-01-25 23:55:00
874,Zekhel,Rengetsu,Bulleta,Mikuru,Firamelia,Lyla,Lightcrest Crown,Ukonvasara,Noblige,Laser Pilum,Hyperion Bow,Laser Pilum,0,0,0,0,0,0,6,6,6,0,0,0,6,6,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/guildknight_leader-yokai_exterminator-combat_soldier-asahina_mikuru-lamp_guide-unyielding_adventurer-acce_0024_raid_revival-axe_0008-fist_0036-spear_0027-bow_0026_decay-spear_0027@---,---,555,---,55-,555.png",2022-01-25 22:20:00
875,SLeon,Arisa,Mia,Phiria,SShywe,Kugui,Death's Sword,Aero Bomb Bag,Aero Bomb Bag,Aero Bomb Bag,Holly Gauntlet,Aero Bomb Bag,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/mercenary_smr21-arisa-tiger_treasure_hunter-wind_oracle-bigwing_shaman_smr21-ekaki_onmyoji-sword_0022_boss_unique-acce_0023_boss_unique-acce_0023_boss_unique-acce_0023_boss_unique-fist_0026_raid-acce_0023_boss_unique@---,5--,---,---,---,---.png",2022-01-25 20:33:00
876,Mikuru,Razelt,Lyla,Mech,NYOrvelle,Vyron,Laser Pilum,Laser Pilum,Yata-no-Kagami,Laser Pilum,Maltet,Lightcrest Bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/asahina_mikuru-prince_zero-unyielding_adventurer-doctor_machine-high_priestess_ny22-veteran_hunter-spear_0027-spear_0027-acce_0014_boss_unique-spear_0027-spear_0005-bow_0017_raid@---,---,---,---,---,555.png",2022-01-25 19:41:00
877,XFluffy,Vyron,Phiria,Lyla,Shywe,Sha Suzu,Maltet,Meteora,Death's Axe,Wind Aegis,Wind Aegis,Wind Aegis,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/combat_animal_xm21-veteran_hunter-wind_oracle-unyielding_adventurer-bigwing_shaman-student_gunsmith-spear_0005-bow_0010-axe_0018_boss_unique-shield_0017-shield_0017-shield_0017@---,---,---,---,5--,---.png",2022-01-25 13:38:00
878,XFluffy,NYSuzuka,Nevia,Firamelia,ACeltie,Celtie,Death's Sword,Death's Sword,Yata-no-Kagami,Death's Tomb,Death's Tomb,Haniximenes,0,0,0,6,6,0,0,0,0,0,0,0,6,1,1,6,0,0,"https://eliya-bot.herokuapp.com/comp/combat_animal_xm21-timid_kunoichi_ny21-beast_shaman-lamp_guide-wind_spgirl_1anv-wind_spgirl-sword_0022_boss_unique-sword_0022_boss_unique-acce_0014_boss_unique-book_0016_boss_unique-book_0016_boss_unique-book_0027_haniwa@---,55-,---,---,500,5--.png",2022-01-25 07:28:00
879,NYOrvelle,Vyron,Lyla,Mech,Firamelia,Razelt,Maltet,Lightcrest Bow,Yata-no-Kagami,Laser Pilum,Laser Pilum,Laser Pilum,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess_ny22-veteran_hunter-unyielding_adventurer-doctor_machine-lamp_guide-prince_zero-spear_0005-bow_0017_raid-acce_0014_boss_unique-spear_0027-spear_0027-spear_0027@---,555,---,---,---,---.png",2022-01-25 05:28:00
880,Volgia,Zelma,Olivia,HDia,Carla,Bryce,The Spear of Gluttony,The Book of Lies,Tyrfing,Tyrfing,Daphnis' Tablet,Prismatic Dual Blades,0,0,0,1,0,0,1,6,6,0,0,0,0,0,0,6,0,0,"https://eliya-bot.herokuapp.com/comp/formercorrupt_detective-illegal_herbalist-olivia-sing_android_hw20-cursed_girl-crazy_doctor-spear_0021_boss_unique-book_0005-sword_0028-sword_0028-book_0025_decay-sword_0020_coop@---,0--,055,---,---,5--.png",2022-01-25 04:00:00
881,AMarina,Zeta,Rinne,Bianca,Nicola,XBianca,Parashu,Hero's Megaphone,Yata-no-Kagami,Yata-no-Kagami,Deimos' Bangle,Yata-no-Kagami,0,0,0,4,4,1,0,0,0,1,1,1,2,1,1,6,6,6,"https://eliya-bot.herokuapp.com/comp/pirates_girl_2anv-zeta-psychic_tomboygirl-lady_summoner-sorceress_teacher-lady_summoner_xm20-axe_0024-sword_0047_scollab-acce_0014_boss_unique-acce_0014_boss_unique-acce_0018_decay-acce_0014_boss_unique@---,330,---,000,100,555.png",2022-01-25 01:27:00
882,ARegis,Inaho,Rudy,Vyron,Zantetsu,Regis,Ancestral Scepter,Crimson Orcfist,Ancestral Staff,Yata-no-Kagami,Yata-no-Kagami,Thor's Hammer,6,1,6,0,0,0,6,6,6,6,6,6,6,6,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/rec_android_1anv-fox_oracle-lady_android-veteran_hunter-samurai_robot-rec_android-staff_0020_boss_unique-fist_0004-spear_0023_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique-axe_0009@505,---,555,555,55-,555.png",2022-01-25 00:58:00
883,Mikuru,Razelt,HNephtim,Lyla,NYOrvelle,Orvelle,Laser Pilum,Laser Pilum,Haniion,Laser Pilum,Parashu,WBR-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/asahina_mikuru-prince_zero-ruin_girl_halfanv-unyielding_adventurer-high_priestess_ny22-high_priestess-spear_0027-spear_0027-acce_0025_haniwa-spear_0027-axe_0024-sword_0055_story_event@---,---,---,---,---,---.png",2022-01-25 00:42:00
884,XFluffy,Fluffy,HEstariel,NYSuzuka,Phiria,Kugui,Aero Heavy Bow,Meteora,Death's Tomb,Death's Tomb,Taipingjing,Death's Tomb,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/combat_animal_xm21-combat_animal-elf_princess_1halfanv-timid_kunoichi_ny21-wind_oracle-ekaki_onmyoji-bow_0028_boss_unique-bow_0010-book_0016_boss_unique-book_0016_boss_unique-book_0026-book_0016_boss_unique@---,555,555,555,555,555.png",2022-01-24 23:16:00
885,AMarina,Zeta,Rinne,XBianca,Nicola,Pishika,Parashu,Flamewing Bow,Yata-no-Kagami,Deimos' Bangle,Deimos' Bangle,Yata-no-Kagami,0,0,0,6,6,6,0,0,0,6,6,6,6,6,6,0,0,0,"https://eliya-bot.herokuapp.com/comp/pirates_girl_2anv-zeta-psychic_tomboygirl-lady_summoner_xm20-sorceress_teacher-nurse_pirate-axe_0024-bow_0019_raid-acce_0014_boss_unique-acce_0018_decay-acce_0018_decay-acce_0014_boss_unique@---,555,---,555,555,---.png",2022-01-24 23:04:00
886,HSelgir,Love,Londahl,Zelma,AShion,Andy,Parashu,Darkbane Blade,Sessho-seki Dagger,The Book of Pride,The Book of Pride,The Book of Pride,6,6,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/blindness_gunner_1halfanv-touyakiren_ceo-walking_armor-illegal_herbalist-informant_2anv-undead_boy-axe_0024-sword_0052_raid_revival-sword_0040_boss_unique-book_0017_boss_unique-book_0017_boss_unique-book_0017_boss_unique@555,5--,---,0--,---,---.png",2022-01-24 15:07:00
887,Shuilong,Rem,Rakisha,Kaiyu,Saar,Selene,Parashu,blank,Yata-no-Kagami,blank,Juturna's Fan,blank,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,6,"https://eliya-bot.herokuapp.com/comp/waterdragon_kunfu-rem-drawing_witch-depraved_monk-deepsea_mage-commander-axe_0024-blank-acce_0014_boss_unique-blank-sword_0042_decay-blank@555,555,550,000,000,005.png",2022-01-24 04:09:00
888,Diletta,Zekhel,SInaho,Lyra,Bulleta,SSohvi,Lightcrest Crown,Lightcrest Bow,Insanity,Insanity,Nostalgia,Laser Pilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/sea_violent-guildknight_leader-fox_oracle_smr21-neoviolin_musician-combat_soldier-psycho_reaper_smr21-acce_0024_raid_revival-bow_0017_raid-gun_0004_boss_unique-gun_0004_boss_unique-shield_0020_boss_unique-spear_0027@---,---,---,---,---,---.png",2022-01-24 03:46:00
889,Blue Blobble,Shuilong,Suizen,Yuki,Rem,Reylas,Spine of the Deep,Spine of the Deep,Yata-no-Kagami,Spine of the Deep,Juturna's Fan,Spine of the Deep,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,"https://eliya-bot.herokuapp.com/comp/slango_blue-waterdragon_kunfu-onmyoji_boy-psychic_yuki-rem-freeze_eye-sword_0025_boss_unique-sword_0025_boss_unique-acce_0014_boss_unique-sword_0025_boss_unique-sword_0042_decay-sword_0025_boss_unique@---,---,---,---,5--,5--.png",2022-01-23 22:30:00
890,Marcus,Mino,Sha Suzu,Inaho,Beaucy,Jay,Aegaeon's Axe,Thor's Hammer,Nurarihyon,Philebus,Yata-no-Kagami,Yata-no-Kagami,1,6,6,6,6,6,6,0,0,0,0,0,6,6,6,6,1,6,"https://eliya-bot.herokuapp.com/comp/elder_guild_fighter-minotaur_girl-student_gunsmith-fox_oracle-heavenly_two-cat_shaman-axe_0025_decay-axe_0009-main_chapter_orb_6-book_0010-acce_0014_boss_unique-acce_0014_boss_unique@055,555,5--,---,555,505.png",2022-01-23 13:39:00
891,AHanabi,HSelgir,Nao,Vyron,Marianne,Sha Suzu,Parashu,Kadoma-II,Death's Sickle,Yata-no-Kagami,Yata-no-Kagami,Yata-no-Kagami,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/kunoichi_1anv-blindness_gunner_1halfanv-psychic_nao-veteran_hunter-battle_maid-student_gunsmith-axe_0024-gun_0009_coop-axe_0010-acce_0014_boss_unique-acce_0014_boss_unique-acce_0014_boss_unique@55-,---,---,---,5--,---.png",2022-01-23 12:34:00
892,Orvelle,XFolus,HNephtim,HRenoir,Razelt,Sha Suzu,Ukonvasara,Ukonvasara,Yata-no-Kagami,Yata-no-Kagami,Treat Wand,Treat Wand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/high_priestess-devil_clown_xm21-ruin_girl_halfanv-fox_scientist_hw20-prince_zero-student_gunsmith-axe_0008-axe_0008-acce_0014_boss_unique-acce_0014_boss_unique-staff_0024_raid-staff_0024_raid@---,---,---,---,---,---.png",2022-01-22 23:40:00
893,Kohane,Makani,Nevia,Kugui,XFluffy,Fluffy,Knight's Shield,Death's Tomb,Death's Tomb,Death's Tomb,Aero Heavy Bow,Aero Heavy Bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/tengu_girl-pilgrim_monk-beast_shaman-ekaki_onmyoji-combat_animal_xm21-combat_animal-shield_0009-book_0016_boss_unique-book_0016_boss_unique-book_0016_boss_unique-bow_0028_boss_unique-bow_0028_boss_unique@---,---,---,---,---,555.png",2022-01-22 09:48:00
894,Bulleta,Zekhel,SInaho,Corinna,HLyra,Mikuru,Hanikash,Positron Shooter,Trick or Claw,Haniion,Haniion,Haniion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/combat_soldier-guildknight_leader-fox_oracle_smr21-priest-neoviolin_musician_hw21-asahina_mikuru-bow_0030_haniwa-gun_rare5_positron_shooter-fist_0024_raid-acce_0025_haniwa-acce_0025_haniwa-acce_0025_haniwa@---,---,---,---,---,---.png",2022-01-22 08:10:00
